model,accuracy,median_iou,median_angle_err_deg,inference_ms,train_s,params,n_test
M2_ResNet18Regressor,0.55,0.2934479479361577,6.078366634803351,19.099853038787842,170.75215482711792,11179590.0,100
M5_TinyViT,0.47,0.3638960955473023,36.82304414008568,14.110300540924072,165.4975938796997,1969350.0,100
M1_TinyRedmonCNN,0.35,0.15564507473214384,11.863827553693408,8.832066059112549,126.75577712059021,1675878.0,100
B3_depth_antipodal,0.17,0.15923717829128514,37.046770069778134,,,,100
M3_ResNet18Hybrid,0.13,0.004372184780237097,8.641564477011874,11.60170316696167,169.20536613464355,11187798.0,100
B2_center_heuristic,0.04,0.08334578232591369,23.985887047551856,,,,100
B1_random,0.01,0.0,45.95985004671212,,,,100
M4_GGCNNTiny,0.0,0.0,44.04342389477409,12.024424076080322,201.57547307014465,119332.0,100
